created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 07 12:47:17 +0000 2023;1710637922331107711;"@geloraco Udah tahu azal bakal menjemput, segeralah sadar diri dan taubatan nasyuha kasihan warga rempang dlsb yg terdzolimi dg kebijakan yg merugikan dan menyengsarakannya";0;0;0;1;in;2993382097;1710580706806804490;hasanudin_jeans;https://twitter.com/hasanudin_jeans/status/1710637922331107711
Sat Oct 07 12:47:07 +0000 2023;1710637879704289782;"@IND0_Update @mediaindonesia @indozonemedia Rempang maju pasti masyarakat pun maju Rempang Aman  #DukungBahlil";0;0;0;0;in;1638081894498836480;1710619686176723434;poponini90;https://twitter.com/poponini90/status/1710637879704289782
Sat Oct 07 12:47:03 +0000 2023;1710637865523413051;"@IND0_Update @mediaindonesia @indozonemedia Investasi masa depan, Rempang Aman dan sejahtera   #DukungBahlil";0;0;0;0;in;1558377803460284418;1710619686176723434;bahagianye;https://twitter.com/bahagianye/status/1710637865523413051
Sat Oct 07 12:46:55 +0000 2023;1710637829750202747;"Rempang Aman semoga hasilnya lebih baik dan lebih cepat . #DukungBahlil  https://t.co/aiknXSHRcl";0;0;0;0;in;910406122581893126;1710637829750202747;Bernadjo;https://twitter.com/Bernadjo/status/1710637829750202747
Sat Oct 07 12:46:50 +0000 2023;1710637807256154596;"Tak lupa juga saudara di rempang, Afghanistan. Rempang tu bukan kata jauh pun dekat ja. Sama-sama kita titipkan doa pada mereka baca yasin lepas solat etc";0;0;0;0;in;1338462622253912071;1710637807256154596;hi_rahimah;https://twitter.com/hi_rahimah/status/1710637807256154596
Sat Oct 07 12:46:41 +0000 2023;1710637771373809896;"@Ivatcci @jokowi @bahlillahadalia @bkpm Rempang Aman di bawah kendali menteri @bahlil #DukungBahlil";0;0;0;0;in;1686280534182563840;1710618473209241755;nursalmaaa2;https://twitter.com/nursalmaaa2/status/1710637771373809896
Sat Oct 07 12:46:26 +0000 2023;1710637706756477358;"Dan dengan dukungan anggota DPR, demi terwujudnya Rempang Aman #DukungBahlil  https://t.co/F1gsoqasbR";0;0;0;0;in;1558377803460284418;1710637706756477358;bahagianye;https://twitter.com/bahagianye/status/1710637706756477358
Sat Oct 07 12:46:19 +0000 2023;1710637679820550397;"@tvOneNews Begitu gencar nya bahlil di akhir masa jabatan Presiden Jokowi, semoga saja pak bahlil tidak mati dalam kerumunan rajyat rempang";0;0;0;1;in;1630305613770276865;1710430647461073241;Semarreborn;https://twitter.com/Semarreborn/status/1710637679820550397
Sat Oct 07 12:46:09 +0000 2023;1710637636946424070;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas Setuju sih sama Rempang Aman smoga kebijakan ini memberikan dmpak positif bagi masyarakat #DukungBahlil";0;0;0;0;in;1688710024095473664;1710619730703450570;mandaarsely;https://twitter.com/mandaarsely/status/1710637636946424070
Sat Oct 07 12:46:06 +0000 2023;1710637624740946419;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo Kita percaya proses pembebasan lahan di rempang pasti dilakukan secara profesional.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686280534182563840;1710619730875404427;nursalmaaa2;https://twitter.com/nursalmaaa2/status/1710637624740946419
Sat Oct 07 12:45:59 +0000 2023;1710637594122580197;"Ayo dukuung pembebasan lahan ini guysss, kita harus dukung teruss biar Rempang Aman  #DukungBahlil";0;0;0;0;in;1675087038557880320;1710637594122580197;indriiik9;https://twitter.com/indriiik9/status/1710637594122580197
Sat Oct 07 12:45:55 +0000 2023;1710637580428128556;"Dengan arahan pak Presiden dalam regulasi bahwa kehadiran investasi diprioritaskan untuk kesejahteraan masyarakat setempat, demi terwujudnya Rempang Aman #DukungBahlil https://t.co/1v9NoMEpxm";0;0;0;0;in;1558377803460284418;1710637580428128556;bahagianye;https://twitter.com/bahagianye/status/1710637580428128556
Sat Oct 07 12:45:13 +0000 2023;1710637404057645416;"@IND0_Update @mediaindonesia @indozonemedia Pastinya selalu #DukungBahlil buat Rempang Aman 👍";0;0;0;0;in;1637393006599995392;1710619686176723434;aokacoklat;https://twitter.com/aokacoklat/status/1710637404057645416
Sat Oct 07 12:45:09 +0000 2023;1710637384906489876;"Yg belum aman itu warga rempang prof. Kaki tangan Penjajah masih meneror warga.";0;0;0;0;in;1132347810135699456;1710637384906489876;AssaMaulana;https://twitter.com/AssaMaulana/status/1710637384906489876
Sat Oct 07 12:45:08 +0000 2023;1710637379550384384;"Selalu sukse ls buat pak Bahlil biar Rempang semakin maju dan ekonomi meningkat. #DukungBahlil https://t.co/UlOAVK20zD";0;0;0;0;in;1620055616806064128;1710637379550384384;hosisilalahi;https://twitter.com/hosisilalahi/status/1710637379550384384
Sat Oct 07 12:44:59 +0000 2023;1710637344989290576;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas Pokoknya kita akan terus mendukung dan mengawal niat baik menteri @bahlillahadalia untuk warga rempang.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686280534182563840;1710619730703450570;nursalmaaa2;https://twitter.com/nursalmaaa2/status/1710637344989290576
Sat Oct 07 12:44:39 +0000 2023;1710637258615959585;"Semoga cepat selesai Rempang Aman warga senang  #DukungBahlil https://t.co/JoBMhPyh8d";0;0;0;1;in;910406122581893126;1710637258615959585;Bernadjo;https://twitter.com/Bernadjo/status/1710637258615959585
Sat Oct 07 12:44:31 +0000 2023;1710637227209023954;"@IND0_Update @mediaindonesia @indozonemedia Secara prosedur tidak menyalahkan aturan demi Rempang Aman  #DukungBahlil";0;0;0;0;in;1558375078278025217;1710619686176723434;JagaragaFirman1;https://twitter.com/JagaragaFirman1/status/1710637227209023954
Sat Oct 07 12:44:09 +0000 2023;1710637135655788930;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas ikut #DukungBahlil yang meuwujudkan Rempang Aman warga pun tenang dan semua berjalan dengan lancar";0;0;0;0;in;1586734768267272193;1710619730703450570;mocca280;https://twitter.com/mocca280/status/1710637135655788930
Sat Oct 07 12:43:46 +0000 2023;1710637038817751091;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas Sejatinya proyek strategis nasional di rempang akan berdampak positif bagi warga rempang, karena akan membantu meningkatkan perekonomian mereka.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686291325308784640;1710619730703450570;syahirasyafaa;https://twitter.com/syahirasyafaa/status/1710637038817751091
