created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,
"Thu Oct 05 20:44:51 +0000 2023;1710033331281346592;""@hekahert Sejarah #Rempang"";0;0;0;0;in;1426005693983649794;1709860147840029183;Laras_nia90;https://twitter.com/Laras_nia90/status/1710033331281346592",,,,,,,,,,,
"Thu Oct 05 20:43:39 +0000 2023;1710033030151393361;""@liputan6dotcom Jokowi janji swasembada pangan dan tolak impor. Realisasinya bohong. Yang dikerjakan malah yang nggak ada penting penting yang di janji kampanye nggak pernah ada seperti pulau rempang dan IKN baru."";0;0;1;1;in;1704144445648846848;1709803751069130916;Komentator_baik;https://twitter.com/Komentator_baik/status/1710033030151393361",,,,,,,,,,,
"Thu Oct 05 20:30:48 +0000 2023;1710029793931165794;""@tvOneNews Yg preman itu masyarakat Rempang apa Bahlil ? Cuma nanya ko !"";0;0;0;0;in;931713848247181312;1709343143609688394;sulaema89252948;https://twitter.com/sulaema89252948/status/1710029793931165794",,,,,,,,,,,
"Thu Oct 05 20:03:59 +0000 2023;1710023044478156867;""Amien Rais Datangi Kantor Polisi Jaminkan Diri Untuk Bebaskan Warga Rempang yang Ditangkap"," Kasatreskrim Tidak di Tempat https://t.co/9tlMSagxMW"";0;0;0;0;in;2728877828;1710023044478156867;DataRiau;https://twitter.com/DataRiau/status/1710023044478156867",,,,,,,,,,
"Thu Oct 05 19:56:54 +0000 2023;1710021263228645487;""@kopi_kretek @pakaipeci Tapi tindakan nyata dibutuhkan org rempang dari pada kaya elu yg modal bacot doank plus nyinyirin perjuangan org."";0;1;0;8;in;120681989;1709927990837342424;torqiu;https://twitter.com/torqiu/status/1710021263228645487",,,,,,,,,,,
"Thu Oct 05 19:51:21 +0000 2023;1710019866592453076;""@CNNIndonesia Mnang rezim dungu ini parah pak", kita terjajah secara ekonomi," Rempang terjajah secara kehidupan"";0;0;0;0;in;1358984771511087104;1709731552689590626;Gober79252798;https://twitter.com/Gober79252798/status/1710019866592453076",,,,,,,,,
"Thu Oct 05 19:12:46 +0000 2023;1710010157873418392;""@nopenotamused That's why they invade Indonesia through their Xinyi in Rempang"," Batam 😭😭😭 @TonySoFla"";0;0;0;2;en;465356974;1709999638667788573;aditya_ptr97;https://twitter.com/aditya_ptr97/status/1710010157873418392",,,,,,,,,,
"Thu Oct 05 18:59:10 +0000 2023;1710006735539413215;""@islah_bahrawi Islah badrowi",,,Jualan radikal radikul tapi dukung kelompok maling.. Bagaimana rumah dan kampung di jadi PSN," UNTUK Pindahkan PSN DI REMPANG  BIAR TDK TERJADI PITING ATAU BULDOSER Masyarakat REMPANG. https://t.co/NP1UZmZqBV"";0;0;0;1;in;1542387203200151552;1709915586946589058;man_zuhar;https://twitter.com/man_zuhar/status/1710006735539413215",,,,,,,
"Thu Oct 05 18:56:09 +0000 2023;1710005975300939782;""Bantu Warga"," Babinsa Koramil 12/Rembang Padamkan Kebakaran Lahan Kosong https://t.co/ytS8yoXR5z"";0;0;0;0;in;1685967309809348610;1710005975300939782;JonoMpgi94244;https://twitter.com/JonoMpgi94244/status/1710005975300939782",,,,,,,,,,
"Thu Oct 05 18:40:01 +0000 2023;1710001916049264810;""@msobri99 Sok cinta tanah air kau....warga rempang diusir dari kampungnya sendiri demi investor cina...kau diam aja tu.......NKRI yg seperti apa yg kau cintai??????"";0;0;0;0;in;1605189327533002752;1709857166889545901;Didit3Ahmadi;https://twitter.com/Didit3Ahmadi/status/1710001916049264810",,,,,,,,,,,
"Thu Oct 05 18:33:39 +0000 2023;1710000312680133040;""@MprAldo Rempang ms nangis"," menhan dah ikut pemilu"";0;0;0;1;in;621287495;1709993846921408728;Knowyourenemyz;https://twitter.com/Knowyourenemyz/status/1710000312680133040",,,,,,,,,,
"Thu Oct 05 18:10:30 +0000 2023;1709994486724730924;""@yyuuccaaa hai sasa anak rembang"";0;1;0;0;in;1294954483718340609;1709991955147690392;handballspezial;https://twitter.com/handballspezial/status/1709994486724730924",,,,,,,,,,,
"Thu Oct 05 17:40:00 +0000 2023;1709986810183491899;""Kehebohan melanda Desa Pamotan", Kecamatan Pamotan, Rembang, Jawa Tengah," setelah adanya insiden sumur bor yang mengeluarkan semburan gas dan bahkan percikan api ketika terkena korek api.  #Rambang #JawaTengah   https://t.co/5H2LK80rdd"";0;0;0;0;in;902837643024539651;1709986810183491899;medcom_id;https://twitter.com/medcom_id/status/1709986810183491899",,,,,,,
"Thu Oct 05 17:32:42 +0000 2023;1709984974202671253;""@ganjarpranowo Salam dari wadas dan rempang"";0;0;0;0;in;3365521820;1709386148148347227;yd_silalahi;https://twitter.com/yd_silalahi/status/1709984974202671253",,,,,,,,,,,
"Thu Oct 05 17:18:16 +0000 2023;1709981341713039700;""@susipudjiastuti @jokowi Mau bikin pabrik di rempang aja kena demo", emang udah benar tuh impor,  kalo lobster baru lah kita ekspor,"  orang indonesia cukup udang aja"";0;0;0;0;in;4066585873;1709798005027774670;iya123456743;https://twitter.com/iya123456743/status/1709981341713039700",,,,,,,,
